sku,produit,grade,prix_actuel,prix_median_grade,cout,derniere_maj,group_id,variant_id
FLX-00102600600133,Apple iPhone 11 64 GO,A,338,194,163,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,3d001219-6ca1-4aa9-8239-0fcb18aecc3a
FLX-00102600600035,Apple iPhone 11 64 GO,A,338,194,213,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,21d1d629-ec0a-4b65-ae5d-ae32d84fcb4f
FLX-00102600501083,Apple iPhone 11 64 GO,B,386,203,322,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,5df47879-0319-4bd5-a3f4-8889fe31d58f
FLX-00102600500206,Apple iPhone 11 64 GO,B,386,203,322,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,5aed6945-f5de-49ad-8510-b307334c6108
FLX-00102600501091,Apple iPhone 11 64 GO,B,386,203,322,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,a905d9ca-c786-4c46-b9bc-d93748d1c3f1
FLX-00102600501384,Apple iPhone 11 64 GO,B,386,203,322,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,795414b9-e17c-4451-b3b4-742a20a56ebf
FLX-00102600501130,Apple iPhone 11 64 GO,B,386,203,322,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,20018306-f88f-4c9e-a108-9cb6242f8fcc
FLX-00102600501087,Apple iPhone 11 64 GO,B,386,203,322,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,6b6247f6-6590-40f1-93d3-f55671a37a63
FLX-00102600600560,Apple iPhone 11 64 GO,B,360,203,300,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,0c79ec15-9403-4c2c-8d29-94f58eb280a3
FLX-00102600501142,Apple iPhone 11 64 GO,B,354,203,295,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,209bd247-ffdb-4952-b9d0-b77f3ac9bcc7
FLX-00102600500066,Apple iPhone 11 64 GO,B,354,203,295,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,6826b5c8-7147-4869-b41a-d0d37f1d5b82
FLX-00102600501145,Apple iPhone 11 64 GO,B,354,203,295,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,30ea8568-8e0d-4d31-a34d-83ad842e8552
FLX-00102600500739,Apple iPhone 11 64 GO,B,354,203,295,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,764e7ed7-2cc4-4383-a571-5ee8f699ca75
FLX-00102600501125,Apple iPhone 11 64 GO,B,354,203,295,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,47a4879e-f7d5-4e41-ad8b-8d87cc2cfbf1
FLX-00102600500098,Apple iPhone 11 64 GO,B,354,203,295,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,babe2732-7726-431c-ae29-706cbbd760b9
FLX-00102600500911,Apple iPhone 11 64 GO,B,341,203,284,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,c4f8782b-efc4-4eb7-b68a-ce2ba007871f
FLX-00102600500623,Apple iPhone 11 64 GO,B,341,203,284,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,2b6557d0-0c3f-4155-b345-242b2d76ad6b
FLX-00102600500890,Apple iPhone 11 64 GO,B,341,203,284,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,320b8ffa-a5eb-420a-86be-c1ebd3bd48f2
FLX-00102600500669,Apple iPhone 11 64 GO,B,341,203,284,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,519bd3a3-a541-4772-87ca-34294706eb75
FLX-00102600500721,Apple iPhone 11 64 GO,B,341,203,284,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,e99c457f-3917-4e66-896e-0c80e0a46881
FLX-00102600600571,Apple iPhone 11 64 GO,B,330,203,275,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,cd5d322f-15e9-4d6e-8efe-5c9d9cc7c7ba
FLX-00102600501347,Apple iPhone 11 64 GO,B,322,203,268,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,edac8c50-25c9-4bfb-8627-223444ccb273
FLX-00102600500518,Apple iPhone 11 64 GO,B,322,203,268,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,6cd4009a-e3bd-4acc-aa25-f3dffcc8f2a3
FLX-00102600500553,Apple iPhone 11 64 GO,B,322,203,268,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,290bad66-67e0-41a8-aa98-9e2cb9c20b4d
FLX-00102600500898,Apple iPhone 11 64 GO,B,322,203,268,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,4bdfa35b-7bfb-45db-82a9-e760ff51c85b
FLX-00102600600669,Apple iPhone 11 64 GO,B,318,203,265,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,62a93761-a934-450c-9fe3-18d0f4e5c0a6
FLX-00102600500715,Apple iPhone 11 64 GO,B,312,203,260,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,4b4b2821-a0bb-4028-956c-c5610e0f264c
FLX-00102600500654,Apple iPhone 11 64 GO,B,312,203,260,2026-06-19,9fae5bad-7f12-42cc-ab52-858eec23d013,dda728df-02e6-4bd7-a50b-bfd3a83438bb
FLX-00102600800096,Apple iPhone 11 Pro 256 GO,B,630,269,525,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,60b484d7-8358-42ed-a03b-2d7f0eda78ae
FLX-00102601000018,Apple iPhone 11 Pro 256 GO,B,546,269,455,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,5ee6b1f9-0560-4120-ad72-800e1734f4de
FLX-00102600900541,Apple iPhone 11 Pro 256 GO,B,504,269,420,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,54cb6638-14f5-4971-a1a1-94b7828a7e8d
FLX-00102600900519,Apple iPhone 11 Pro 256 GO,B,504,269,420,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,33f5d685-c008-48f0-8f78-64df5147f096
FLX-00102600900538,Apple iPhone 11 Pro 256 GO,B,504,269,420,2026-06-17,9286614e-97ca-4c66-96ae-7fa74dd2d29b,8f966440-38c3-4669-8517-60adb1876a3d
FLX-00102600800724,Apple iPhone 11 Pro 256 GO,B,498,269,415,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,72d6ada0-5255-4264-9ab7-f79a0a9dc15c
FLX-00102600800674,Apple iPhone 11 Pro 256 GO,B,458,269,382,2026-06-17,9286614e-97ca-4c66-96ae-7fa74dd2d29b,f5d6e308-94a4-42b9-8b85-83673a2dbb8c
FLX-00102600800683,Apple iPhone 11 Pro 256 GO,B,420,269,350,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,7314a795-e1b5-44df-b8b4-f0f7e31b07d2
FLX-00102600800032,Apple iPhone 11 Pro 256 GO,B,420,269,350,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,3e387a74-9aa2-4f9c-97c3-d59a073da28f
FLX-00102600800690,Apple iPhone 11 Pro 256 GO,B,420,269,350,2026-06-17,9286614e-97ca-4c66-96ae-7fa74dd2d29b,d910c945-a871-4a95-9ee3-8d6148132243
FLX-00102600800700,Apple iPhone 11 Pro 256 GO,B,420,269,350,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,1a361e6b-3e3b-415f-9329-9d246a04a4d4
FLX-00102600800679,Apple iPhone 11 Pro 256 GO,B,420,269,350,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,7ef494f3-3957-4247-a390-7f80db9614b9
FLX-00102600800284,Apple iPhone 11 Pro 256 GO,C,347,180,289,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,81977d68-d1c1-4dca-92e9-3b07a4efa53c
FLX-00102600800176,Apple iPhone 11 Pro 256 GO,C,347,180,289,2026-06-19,9286614e-97ca-4c66-96ae-7fa74dd2d29b,59fe7bbd-c3a5-47b3-8748-9e15313c114d
FLX-00102600800511,Apple iPhone 11 Pro 256 GO,C,347,180,289,2026-06-17,9286614e-97ca-4c66-96ae-7fa74dd2d29b,f0549c49-79ce-4dbf-b454-480de69e4fbe
FLX-00102600800212,Apple iPhone 11 Pro 256 GO,C,330,180,275,2026-06-17,9286614e-97ca-4c66-96ae-7fa74dd2d29b,a234b58e-ca45-4956-81ad-420286bdf597
FLX-00102601400009,Apple iPhone 11 Pro Max 256 GO,B,622,288,518,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,326f8e52-d36b-481d-9ed5-f49360b99f55
FLX-00102601300419,Apple iPhone 11 Pro Max 256 GO,B,583,288,486,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,3acf2b34-aa14-4e98-b5df-959c3d5df1e4
FLX-00102601400041,Apple iPhone 11 Pro Max 256 GO,B,570,288,475,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,2a5210b9-c48e-4055-af51-25294addda08
FLX-00102601400011,Apple iPhone 11 Pro Max 256 GO,B,570,288,475,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,bbba425a-792d-4179-b9e5-ca7ebd7163ef
FLX-00102601300416,Apple iPhone 11 Pro Max 256 GO,B,534,288,445,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,33a8753d-aa50-4bb9-8cec-144e77cc18e5
FLX-00102601200044,Apple iPhone 11 Pro Max 256 GO,B,523,288,436,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,ae88a129-bd38-4699-a468-5857f973a8dd
FLX-00102601200018,Apple iPhone 11 Pro Max 256 GO,B,523,288,436,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,b30ade33-a07c-4f06-953b-e022f7bdb0aa
FLX-00102601200273,Apple iPhone 11 Pro Max 256 GO,B,523,288,436,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,6bc9be87-0d3c-4e16-afb2-dc6a07fc75ed
FLX-00102601300174,Apple iPhone 11 Pro Max 256 GO,B,504,288,420,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,f4ca7f5d-866c-43b7-8c2f-36cf00b1968d
FLX-00102601200577,Apple iPhone 11 Pro Max 256 GO,B,480,288,400,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,0936844c-19a7-47e9-813a-0ce533cc9309
FLX-00102601200551,Apple iPhone 11 Pro Max 256 GO,B,480,288,400,2026-06-17,1a666d85-1de2-4f79-a722-0fa07c44dcc9,b4d3821f-60a6-4d56-b95d-dc6b46083414
FLX-00102601200017,Apple iPhone 11 Pro Max 256 GO,B,480,288,400,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,bc8ffaea-b2ba-4548-ad5f-ac96ba71481d
FLX-00102601200548,Apple iPhone 11 Pro Max 256 GO,B,480,288,400,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,5ccb3e71-167b-4481-972d-207f3c531e5a
FLX-00102601200037,Apple iPhone 11 Pro Max 256 GO,B,480,288,400,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,00a8a6f6-8137-4e47-b7a2-8eee66b4928a
FLX-00102601300102,Apple iPhone 11 Pro Max 256 GO,B,462,288,385,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,b368d886-8b5e-4a2c-bfc1-7c84dd5c8903
FLX-00102601300385,Apple iPhone 11 Pro Max 256 GO,B,462,288,385,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,aabfacb1-94c7-455f-ae1a-d68d978f4391
FLX-00102601200666,Apple iPhone 11 Pro Max 256 GO,B,458,288,382,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,7d9e1bdc-35b7-4a04-8942-e99b25f6f385
FLX-00102601200101,Apple iPhone 11 Pro Max 256 GO,C,458,283,382,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,0848204f-6000-4e24-b49c-040a591ddcef
FLX-00102601200157,Apple iPhone 11 Pro Max 256 GO,C,458,283,382,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,3dcf9c5a-90fa-475b-b120-87c7712c15f0
FLX-00102601300080,Apple iPhone 11 Pro Max 256 GO,C,432,283,360,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,3259c781-3f8a-4ddf-84aa-13471e9b0bee
FLX-00102601300083,Apple iPhone 11 Pro Max 256 GO,C,432,283,360,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,e0b31ead-fd4b-4f90-97d7-e55e8bcd5b9a
FLX-00102601200361,Apple iPhone 11 Pro Max 256 GO,C,426,283,355,2026-06-17,1a666d85-1de2-4f79-a722-0fa07c44dcc9,a5e149cb-bafb-473a-8683-96f4abf8dcc4
FLX-00102601200483,Apple iPhone 11 Pro Max 256 GO,C,426,283,355,2026-06-19,1a666d85-1de2-4f79-a722-0fa07c44dcc9,1d90389d-5c21-4b4a-87f2-5b6c54aa3455
FLX-00103550600289,Apple iPhone 12 64 GO,A,595,282,496,2026-06-19,9b6b7cdb-c4cc-4eed-970f-12543f8db8d3,75850172-c4bd-4d07-803d-27f0c499349e
FLX-00103550600159,Apple iPhone 12 64 GO,A,595,282,496,2026-06-19,9b6b7cdb-c4cc-4eed-970f-12543f8db8d3,14a35317-346f-4d56-9859-5cef2f5b77d5
FLX-00103550600013,Apple iPhone 12 64 GO,A,558,282,465,2026-06-17,9b6b7cdb-c4cc-4eed-970f-12543f8db8d3,aa9cf73b-476d-47b0-a793-3b38d755d474
FLX-00103550600010,Apple iPhone 12 64 GO,A,558,282,465,2026-06-19,9b6b7cdb-c4cc-4eed-970f-12543f8db8d3,8b831867-2cdc-4da2-90b3-03b0550e5418
